epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,49.0159,2.15577,4.94614,1.41377,0,0,0,0,2.00684,4.92691,1.15932,0.000359429,0.00011981,0.000359429,0.00011981,0.000359429,0.00011981,0.000359429,0.00011981
2,65.156,2.1229,4.90038,1.32258,0,0,0,0,2.05182,4.86891,1.11173,0.000722207,0.000240736,0.000722207,0.000240736,0.000722207,0.000240736,0.000722207,0.000240736
3,79.6688,2.10681,4.83796,1.23991,0.01467,0.00192,0.00781,0.00496,2.07778,4.79156,1.07675,0.00107766,0.00035922,0.00107766,0.00035922,0.00107766,0.00035922,0.00107766,0.00035922
4,94.5561,2.11316,4.75021,1.18482,0.01491,0.00942,0.00966,0.00578,2.13073,4.60245,1.06949,0.00107703,0.000359011,0.00107703,0.000359011,0.00107703,0.000359011,0.00107703,0.000359011
5,109.063,2.18391,4.60131,1.1501,0.01787,0.02611,0.01424,0.00828,2.22383,4.34317,1.06776,0.00106604,0.000355348,0.00106604,0.000355348,0.00106604,0.000355348,0.00106604,0.000355348
6,123.151,2.24323,4.40322,1.13739,0.01742,0.04683,0.01695,0.00927,2.31046,3.98923,1.08973,0.00105505,0.000351685,0.00105505,0.000351685,0.00105505,0.000351685,0.00105505,0.000351685
7,137.839,2.34375,4.11933,1.13039,0.01847,0.06091,0.02012,0.01103,2.37389,3.86388,1.09015,0.00104407,0.000348022,0.00104407,0.000348022,0.00104407,0.000348022,0.00104407,0.000348022
8,152.516,2.37384,3.89856,1.13169,0.67886,0.04361,0.0231,0.01251,2.39449,3.90697,1.09118,0.00103308,0.000344359,0.00103308,0.000344359,0.00103308,0.000344359,0.00103308,0.000344359
9,167.151,2.35399,3.7391,1.12294,0.77292,0.03615,0.026,0.01377,2.4149,3.65542,1.08443,0.00102209,0.000340696,0.00102209,0.000340696,0.00102209,0.000340696,0.00102209,0.000340696
10,181.957,2.35981,3.54935,1.11454,0.82041,0.03725,0.02645,0.01377,2.40829,3.45379,1.07394,0.0010111,0.000337033,0.0010111,0.000337033,0.0010111,0.000337033,0.0010111,0.000337033
11,196.883,2.36625,3.34752,1.10475,0.82021,0.03958,0.02772,0.01419,2.4002,3.32597,1.07179,0.00100011,0.00033337,0.00100011,0.00033337,0.00100011,0.00033337,0.00100011,0.00033337
12,211.871,2.34901,3.22331,1.10086,0.73551,0.03668,0.02912,0.01527,2.40656,3.22087,1.06822,0.000989121,0.000329707,0.000989121,0.000329707,0.000989121,0.000329707,0.000989121,0.000329707
13,226.157,2.3366,3.09591,1.09587,0.64872,0.03611,0.03094,0.01679,2.39857,3.10148,1.05989,0.000978132,0.000326044,0.000978132,0.000326044,0.000978132,0.000326044,0.000978132,0.000326044
14,240.642,2.33845,2.96517,1.0852,0.3838,0.04005,0.03162,0.01691,2.39692,3.01006,1.05712,0.000967143,0.000322381,0.000967143,0.000322381,0.000967143,0.000322381,0.000967143,0.000322381
15,255.656,2.33263,2.80516,1.07878,0.38423,0.04104,0.03467,0.01846,2.39238,2.92176,1.05039,0.000956154,0.000318718,0.000956154,0.000318718,0.000956154,0.000318718,0.000956154,0.000318718
16,270.68,2.33471,2.7995,1.07687,0.25826,0.04115,0.0356,0.01898,2.38859,2.84845,1.04498,0.000945165,0.000315055,0.000945165,0.000315055,0.000945165,0.000315055,0.000945165,0.000315055
